Date,Open,High,Low,Close,200_WMA_Open,200_WMA_High,200_WMA_Low,200_WMA_Close
2025-03-02,86024.35,86448.65,85534.39,85953.05,44491.29,45405.33,43524.68,44509.50
2025-03-01,84373.87,86522.30,83794.23,86031.91,44471.14,45384.94,43503.69,44488.56
2025-02-28,84705.63,85036.32,78248.91,84373.01,44452.10,45364.89,43484.58,44468.41
2025-02-27,84076.86,87000.78,83144.96,84704.23,44429.86,45345.51,43466.63,44449.40
2025-02-26,88638.89,89286.25,82131.90,84347.02,44408.99,45322.74,43444.70,44427.15
2025-02-25,91437.12,92511.08,86008.23,88736.17,44384.99,45299.12,43424.52,44406.06
2025-02-24,96277.96,96503.45,91371.74,91418.17,44358.27,45272.62,43401.18,44381.98
2025-02-23,96577.80,96671.88,95270.45,96273.92,44324.56,45242.48,43370.80,44355.27
2025-02-22,96134.20,96950.16,95765.34,96577.76,44291.32,45209.50,43336.44,44321.51
2025-02-21,98340.67,99497.97,94852.96,96125.55,44259.18,45176.80,43302.89,44288.28
2025-02-20,96632.68,98767.20,96442.67,98333.94,44225.90,45142.95,43269.23,44256.11
2025-02-19,95532.53,96855.59,95011.97,96635.61,44195.35,45111.98,43236.47,44222.84
2025-02-18,95773.81,96695.38,93388.84,95539.55,44167.45,45083.34,43206.96,44192.32
2025-02-17,96179.01,97032.23,95243.55,95773.38,44138.81,45055.04,43178.43,44164.42
2025-02-16,97580.49,97725.59,96060.98,96175.03,44110.24,45026.82,43149.23,44135.82
2025-02-15,97508.38,97975.04,97240.20,97580.35,44083.90,45000.62,43118.35,44107.28
2025-02-14,96623.37,98819.47,96342.80,97508.97,44058.20,44975.34,43092.01,44080.92
2025-02-13,97888.75,98111.09,95269.71,96623.87,44034.37,44950.17,43066.21,44055.25
2025-02-12,95745.70,98151.02,94101.20,97885.86,44009.50,44925.68,43042.60,44031.45
2025-02-11,97438.13,98492.90,94875.04,95747.43,43986.49,44901.91,43019.35,44006.61
2025-02-10,96499.46,98333.22,95320.84,97437.55,43959.67,44877.09,42994.35,43983.58
2025-02-09,96481.31,97325.28,94745.26,96500.09,43933.73,44850.61,42968.82,43956.77
2025-02-08,96533.26,96877.80,95702.49,96482.45,43907.56,44824.51,42943.50,43930.84
2025-02-07,96581.32,100154.14,95653.88,96529.09,43880.21,44799.08,42916.59,43904.63
2025-02-06,96610.64,99168.61,95707.35,96593.30,43852.89,44769.64,42889.57,43877.28
2025-02-05,97878.01,99113.21,96174.83,96615.45,43823.95,44740.48,42861.12,43849.95
2025-02-04,101398.72,101745.62,96208.11,97871.82,43795.60,44711.63,42832.13,43820.97
2025-02-03,97681.10,102514.17,91242.89,101405.42,43765.44,44681.44,42804.59,43792.63
2025-02-02,100661.54,101430.66,96216.08,97688.98,43737.64,44651.00,42780.63,43762.38
2025-02-01,102402.80,102755.73,100297.71,100655.91,43706.88,44620.62,42752.73,43734.57
2025-01-31,104737.56,106026.35,101543.88,102405.02,43676.16,44590.16,42722.24,43703.82
2025-01-30,103709.34,106418.77,103321.65,104735.30,43643.56,44557.48,42691.76,43673.09
2025-01-29,101317.52,104750.80,101283.82,103703.21,43611.58,44524.03,42659.75,43640.49
2025-01-28,102095.41,103730.82,100238.19,101332.48,43581.30,44492.02,42628.63,43608.50
2025-01-27,102680.30,103214.11,97795.94,102087.69,43549.63,44460.39,42597.93,43578.20
