Date,Open,High,Low,Close,200_WMA_Open,200_WMA_High,200_WMA_Low,200_WMA_Close,200_WMA_Dollar_1_Day,200_WMA_Percent_1_Day,Price_Change_Dollar_200_Week,Price_Change_Percent_200_Week,Price_Change_Dollar_Same_Day_Swing,Price_Change_Percent_Same_Day_Swing,Price_Change_Dollar_1_Day,Price_Change_Percent_1_Day
2025-10-10,121727.23,121921.31,120972.02,121574.80,53606.22,54559.85,52645.86,53658.17,53.10,0.10,74331.50,157.34,949.29,0.8,-130.78,-0.11
2025-10-09,123337.07,123739.34,119812.03,121705.59,53553.29,54508.47,52593.05,53605.07,52.89,0.10,74033.47,155.30,3927.31,3.2,-1649.28,-1.34
2025-10-08,121448.35,124167.09,121119.18,123354.87,53501.23,54456.37,52541.30,53552.18,52.03,0.10,72850.07,144.24,3047.91,2.5,1903.48,1.57
2025-10-07,124752.14,125184.02,120681.97,121451.38,53450.67,54404.22,52489.61,53500.15,50.53,0.09,70751.30,139.55,4502.05,3.7,-3301.15,-2.65
2025-10-06,123510.45,126198.07,123196.05,124752.53,53397.70,54351.89,52439.26,53449.62,52.98,0.10,74169.91,146.63,3002.02,2.4,1239.05,1.00
2025-10-05,122419.67,125559.21,122191.96,123513.48,53344.77,54298.14,52385.03,53396.64,52.96,0.10,74144.62,150.19,3367.25,2.7,1088.05,0.89
2025-10-04,122267.47,122857.64,121577.57,122425.43,53292.47,54244.00,52331.93,53343.68,52.30,0.10,73224.73,148.83,1280.07,1.0,158.90,0.13
2025-10-03,120656.98,123944.70,119344.31,122266.53,53243.52,54194.75,52275.71,53291.38,49.04,0.09,68668.28,128.12,4600.39,3.8,1585.27,1.31
2025-10-02,118652.38,121086.41,118383.16,120681.26,53197.71,54147.27,52227.95,53242.34,45.86,0.09,64203.44,113.68,2703.25,2.2,2032.33,1.71
2025-10-01,114057.59,118648.93,113981.40,118648.93,53153.83,54101.75,52183.32,53196.48,43.86,0.08,61419.10,107.32,4667.53,3.9,4592.84,4.03
2025-09-30,114396.52,114836.62,112740.56,114056.09,53113.00,54059.17,52142.31,53152.62,40.74,0.08,57050.66,100.08,2096.05,1.8,-344.30,-0.30
2025-09-29,112117.88,114473.57,111589.95,114400.38,53072.59,54019.38,52101.82,53111.88,40.42,0.08,56593.82,97.90,2883.62,2.5,2277.74,2.03
2025-09-28,109681.95,112375.48,109236.95,112122.64,53033.43,53979.66,52062.69,53071.46,39.20,0.07,54874.18,95.85,3138.54,2.8,2440.70,2.23
2025-09-27,109707.14,109778.50,109144.30,109681.95,52994.24,53940.39,52022.91,53032.26,39.19,0.07,54866.87,100.09,634.20,0.6,-30.88,-0.03
2025-09-26,109041.30,110359.20,108728.98,109712.83,52954.26,53901.50,51983.29,52993.07,40.10,0.08,56143.06,104.80,1630.22,1.5,663.54,0.61
2025-09-25,113330.16,113541.09,108713.40,109049.29,52918.48,53864.95,51943.90,52952.97,36.98,0.07,51774.61,90.40,4827.69,4.4,-4279.34,-3.78
2025-09-24,112007.66,113986.27,111229.64,113328.63,52878.37,53826.26,51907.06,52915.99,40.75,0.08,57048.21,101.36,2756.63,2.4,1314.13,1.17
2025-09-23,112757.48,113351.91,111535.57,112014.50,52839.48,53786.11,51867.60,52875.24,38.89,0.07,54445.43,94.57,1816.34,1.6,-734.01,-0.65
2025-09-22,115309.22,115431.31,112037.65,112748.51,52799.15,53746.48,51827.67,52836.35,40.33,0.08,56459.22,100.30,3393.66,3.0,-2557.59,-2.22
2025-09-21,115730.23,115901.09,115252.58,115306.09,52758.72,53706.36,51787.41,52796.02,40.42,0.08,56575.62,96.33,648.51,0.6,-415.87,-0.36
2025-09-20,115691.12,116191.15,115473.52,115721.96,52718.72,53666.44,51746.95,52755.60,40.02,0.08,56024.77,93.85,717.62,0.6,33.10,0.03
2025-09-19,117137.67,117479.76,115141.82,115688.86,52677.59,53626.20,51705.52,52715.58,41.12,0.08,57569.28,99.05,2337.94,2.0,-1448.34,-1.24
